Otázka,Správná odpověď
"Podle zákona o zbraních uschovaná, uložená nebo uskladněná (přechovávaná) zbraň musí být v","nenabitém stavu, to znamená, že zbraň není nabita náboji v zásobníku, nábojové schránce, nábojové komoře hlavně nebo v nábojových komorách válce revolveru."
Příslušný útvar policie je podle zákona o zbraních oprávněn u držitelů zbrojních průkazů provést kontrolu zabezpečení zbraní,"kategorie A; při této kontrole je oprávněn vstupovat do jejich obydlí,"
"Svěření zbraně kategorie A-I, B nebo C, C-I nebo D osobě, která není podle zákona o zbraních oprávněna takovou zbraň sama držet, je možné","za dohledu osoby oprávněné takovou zbraň držet, taková osoba je též povinna poučit osobu, které zbraň svěřuje, o bezpečném zacházení se svěřenou zbraní a střelivem. Speciální dodatečné povinnosti zákon stanovuje pro svěření takové zbraně osobě mladší 18 let,"
Svěření zbraně kategorie A je možné jen,"držiteli zbrojního průkazu nebo osobě, která dosáhla věku 18 let a jejíž svéprávnost nebyla omezena, a to pouze v rámci činnosti držitele zbrojní licence, přičemž účelem svěření nesmí být zážitková střelba,"
"Podle zákona o zbraních při výuce, přípravě nebo soutěžích, jejichž součástí je střelba, může osoba, která není držitelem zbrojního průkazu svěřit zbraň kategorie A-I, B, C, C-I nebo D anebo střelivo do této zbraně osobě","mladší 18 let, nejméně ve věku 10 let, používat zbraň, avšak pouze za přítomnosti osoby starší 21 let, která je držitelem zbrojního průkazu skupiny B, popřípadě skupiny C nejméně 3 roky a zajistí bezpečnou manipulaci se zbraní a střelivem."
"Osoba, která se účastní veřejných shromáždění, slavností, sportovních podniků nebo lidových zábav, podle zákona o zbraních může na těchto akcích nosit zbraň","podílí-li se se souhlasem pořadatele na zabezpečení akce, jejíž součástí je střelba,"
"Podle zákona o zbraních znehodnotit zbraň kategorie A, A-I, B nebo C nebo vyrobit jejich řez lze jen na základě povolení","příslušného útvaru policie, nejde-li o zhotovení řezu zbraně přímo výrobcem zbraně,"
"Žadatel, kterému bylo vydáno povolení ke znehodnocení zbraně kategorie A, A-I, B nebo C nebo k výrobě jejího řezu, je podle zákona o zbraních povinen ji předat ke znehodnocení nebo výrobě jejího řezu pouze osobě, která je k této činnosti oprávněna do","20 pracovních dnů ode dne vydání povolení,"
"Technický postup znehodnocování palných zbraní, na které se vztahuje přímo použitelný předpis Evropské unie, je uveden v","prováděcím nařízení Komise (EU) 2015/2403 ze dne 15. prosince 2015, kterým se stanoví společné pokyny o normách a technikách znehodnocování palných zbraní k zajištění toho, aby znehodnocené palné zbraně byly nevratně neschopné střelby,"
"Vlastník zbraně kategorie A, A-I, B nebo C je povinen předložit zbraň před jejím znehodnocením nebo výrobou jejího řezu podle zákona o zbraních","příslušnému útvaru policie ke kriminalistické expertize s písemnou žádostí, podanou na předepsaném tiskopise,"
"Pokud bylo zjištěno důvodné podezření, že se zbraní kategorie A, A-I, B nebo C, která má být znehodnocena nebo má být provedena výroba jejího řezu, byl spáchán trestný čin nebo přestupek podle zákona o zbraních","příslušný útvar policie žádost o znehodnocení zbraně nebo výrobu jejího řezu zamítne,"
Podle zákona o zbraních držitel znehodnocené zbraně,nesmí na veřejnosti nebo na místě veřejnosti přístupném nosit tuto zbraň viditelně; při nošení této zbraně je povinen mít u sebe potvrzení o jejím znehodnocení.
"Zničení zbraně kategorie A, A-I, B, C nebo C-I je možné podle zákona o zbraních","zásadně formou úředního zničení zbraně, které provádí stát. Zbraň se za tím účelem předává ke zničení prostřednictvím příslušného útvaru policie,"
"Podle zákona o zbraních zbraň kategorie A, A-I, B, C nebo C-I je dovoleno zničit pouze formou úředního zničení zbraně (vyjma případu uvedeného v § 63a zákona o zbraních). Zbraň a střelivo se k úřednímu zničení","předávají i přijímají bezplatně; zbraně a střelivo předané k úřednímu zničení předáním odbornému útvaru policie připadají do vlastnictví státu,"
"Převést vlastnictví ke zbrani kategorie A, A-I, B nebo C nebo střeliva do této zbraně na jiného oprávněného držitele je držitel zbrojního průkazu, zbrojní licence nebo zbrojního průvodního listu pro trvalý vývoz zbraně nebo střeliva povinen, pokud s nimi nenaloží jinak v souladu se zákonem o zbraních, do","6 měsíců ode dne následujícího po dni zániku jejich platnosti,"
"Držitel zbrojního průkazu, zbrojní licence nebo zbrojního průvodního listu pro trvalý vývoz zbraně nebo střeliva je povinen, pokud neučiní jinak v souladu se zákonem o zbraních, požádat příslušný útvar policie o předání zbraně kategorie A, A-I, B nebo C nebo střeliva do této zbraně podnikateli v oboru zbraní a střeliva za účelem jejího prodeje nebo úschovy, do",6 měsíců ode dne následujícího po dni zániku jejich platnosti.
"Podle zákona o zbraních v případě smrti nebo prohlášení za mrtvého osoby, která držela zbraň kategorie A, A-I, B nebo C nebo střelivo do této zbraně, je ten, kdo žil s takovou osobou v době její smrti nebo prohlášení za mrtvého ve společné domácnosti,","povinen tuto skutečnost oznámit kterémukoli útvaru policie; to neplatí, pokud mu tato okolnost nebyla známa. O provedeném oznámení vydá policie potvrzení,"
"Fyzická nebo právnická osoba, která nabyla zbraň kategorie A, A-I, B nebo C nebo střelivo do této zbraně do vlastnictví děděním a není držitelem příslušných oprávnění k jejich držení, je podle zákona o zbraních oprávněna do","2 měsíců ode dne, kdy rozhodnutí soudu o dědictví nabylo právní moci, požádat o vydání zbrojního průkazu, zbrojní licence, popřípadě o udělení výjimky, vydání povolení nebo zbrojního průvodního listu,"
"Každý, kdo nalezne zbraň, je podle zákona o zbraních povinen","neprodleně oznámit nález nejbližšímu příslušníkovi policie nebo útvaru policie nebo obecnímu úřadu, který toto oznámení předá nejbližšímu útvaru policie,"
"Každý, kdo nalezne zbrojní průkaz, průkaz zkušebního komisaře, zbrojní licenci, zbrojní průvodní list, povolení k vývozu podle zákona o kontrole obchodu s výrobky, jejichž držení se v České republice omezuje z bezpečnostních důvodů, evropský zbrojní pas nebo průkaz zbraně, je podle zákona o zbraních povinen tyto doklady odevzdat","neprodleně příslušníkovi policie nebo kterémukoli útvaru policie nebo obecnímu úřadu, který je předá nejbližšímu útvaru policie."
"Zbraň, kterou její vlastník opustil (tzv. derelinkce), připadá podle zákona o zbraních do vlastnictví","státu,"
"Černý lovecký prach, bezdýmný prach a zápalky pro účely přebíjení nábojů nebo použití ve zbrani je oprávněna podle zákona o zbraních nabývat do vlastnictví a držet","fyzická osoba starší 18 let, jejíž svéprávnost nebyla omezena, nebo právnická osoba,"
"Při zacházení s černým loveckým prachem, bezdýmným prachem a zápalkami podle zákona o zbraních","musí každý dbát zvýšené opatrnosti, přitom nesmí ohrozit život, zdraví a majetek jiných osob."
"Fyzická osoba starší 18 let, jejíž svéprávnost nebyla omezena, je podle zákona o zbraních oprávněna nabývat do vlastnictví, přechovávat a nosit","nejvýše celkem 3 kg černého loveckého prachu a bezdýmného prachu a 10 000 zápalek. Zákon upravující nakládání s výbušninami se na nakládání s černým loveckým prachem, bezdýmným prachem a zápalkami nejvýše v množství uvedeném v předchozí větě nepoužije,"
"Technické požadavky na zabezpečení a podmínky pro skladování, přechovávání a zacházení s černým loveckým prachem, bezdýmným prachem a zápalkami stanoví","prováděcí právní předpis. Stanoví rovněž prostory, ve kterých se černý lovecký prach bezdýmný prach a zápalky skladovat nesmí,"
"Přebíjet náboje nebo nabývat do vlastnictví jednotlivé díly nábojů pro účely přebíjení nábojů nebo použití ve zbrani kategorie A, A-I, B nebo C smí podle zákona o zbraních pouze","držitel zbrojního průkazu, který je oprávněn nabývat do vlastnictví náboje pro zbraň kategorie A, A-I, B nebo C, nebo držitel zbrojní licence,"
Přebíjet náboje nebo nabývat do vlastnictví jednotlivé díly nábojů pro účely přebíjení nábojů nebo použití ve zbrani kategorie C-I nebo D smí podle zákona o zbraních,"osoba starší 18 let, jejíž svéprávnost nebyla omezena, nebo právnická osoba,"
"Každý, kdo nalezne munici, střelivo nebo výbušninu, je povinen podle zákona o zbraních","neprodleně oznámit jejich nález nejbližšímu příslušníkovi policie nebo útvaru policie nebo obecnímu úřadu, který toto oznámení předá nejbližšímu útvaru policie."
Správcem centrálního registru zbraní je,"policie,"
"Kontrolovat v místě uložení fyzický a evidenční stav zbraně kategorie A, munice nebo zakázané munice, na které se vztahuje mezinárodní smlouva, která je součástí právního řádu, je oprávněno","Ministerstvo obrany,"
Ve správním řízení plní úkoly nadřízeného správního orgánu vůči příslušnému útvaru policie,Policejní prezidium České republiky.
"Zastavovat vozidla převážející zbraně, střelivo nebo munici a kontrolovat zabezpečení přepravovaných zbraní, střeliva nebo munice a doklady k přepravovaným zbraním, střelivu nebo munici je podle zákona o zbraních oprávněn",příslušník policie.
"Fyzická osoba, která nosí na veřejných shromážděních, slavnostech, sportovních podnicích nebo lidových zábavách zbraň v rozporu s § 60 zákona o zbraních, se podle zákona o zbraních dopustí","přestupku,"
"Podle zákona o zbraních se přestupku tím, že ohrozí život nebo zdraví tím, že při zacházení se zbraní nedbá zvýšené opatrnosti nebo tím, že nedodržuje provozní řád střelnice, dopustí","každá fyzická osoba,"
"Fyzická osoba, která znehodnotí zbraň kategorie A, A-I, B anebo C anebo vyrobí jejich řez v rozporu s § 63 odst. 1 zákona o zbraních, se podle zákona o zbraních",dopustí přestupku.
"Držitel zbraně kategorie C-I nebo D, který nosí zbraň viditelně na veřejnosti nebo na místě veřejnosti přístupném, se","podle zákona o zbraních dopustí přestupku,"
"Držitel zbrojního průkazu, který neprodleně neohlásí útvaru policie ztrátu nebo odcizení zbraně kategorie A, A-I, B nebo C, střeliva do této zbraně, zbrojního průkazu nebo průkazu zbraně, se podle zákona o zbraních","dopustí přestupku,"
"Držitel zbrojního průkazu, který neprodleně neohlásí útvaru policie použití zbraně z důvodu krajní nouze nebo nutné obrany, se podle zákona o zbraních","dopustí přestupku,"
"Držitel zbrojního průkazu skupiny B až E zbraň kategorie A, A-I, B nebo C, na kterou nebyl vydán průkaz zbraně podle zákona o zbraních","nesmí nosit; pokud zbraň nosí, dopouští se přestupku podle zákona o zbraních,"
"Držitel zbrojního průkazu, držitel zbrojního průvodního listu pro tranzit zbraně anebo střeliva nebo držitel evropského zbrojního pasu, který neumožní příslušnému útvaru policie vstup do obydlí za účelem kontroly zabezpečení zbraní, je-li držitelem zbraně kategorie A, se","dopustí přestupku podle zákona o zbraních,"
"Držitel zbrojního průkazu skupiny B až E, držitel zbrojního průvodního listu pro tranzit zbraně nebo střeliva nebo držitel evropského zbrojního pasu, který nosí zbraň nebo manipuluje se zbraní na veřejnosti nebo na místě veřejnosti přístupném, přestože je jeho schopnost k této činnosti snížena požitím alkoholických nápojů anebo jiných návykových látek, léků nebo v důsledku nemoci, se dopustí podle zákona o zbraních",přestupku.
"Pokud zbrojíř vydá zbraň nebo střelivo jiné osobě než pouze fyzické osobě, která je u držitele zbrojní licence v pracovním, členském nebo obdobném poměru, je zároveň držitelem zbrojního průkazu příslušné skupiny a zbraň nebo střelivo používá pouze k účelu uvedenému ve zbrojním průkazu, dopustí se tento zbrojíř podle zákona o zbraních","přestupku,"
"Držitel zbrojního průkazu, který střílí ze zbraně, která není označena zkušební značkou nebo jejíž použití ke střelbě bylo zakázáno podle § 41 odst. 4 zákona o zbraních, se dopustí",přestupku podle zákona o zbraních.
"Ten, kdo bez povolení vyrobí, sobě nebo jinému opatří nebo přechovává střelnou zbraň nebo její hlavní části nebo uvede do střelbyschopného stavu znehodnocenou zbraň nebo na ní provede konstrukční změny směřující k jejímu uvedení do střelbyschopného stavu anebo padělá, pozmění, zahlazuje nebo odstraňuje jedinečné označení střelné zbraně, které umožňuje její identifikaci, se dopustí","trestného činu,"
"Střelná zbraň je podle zákona o zbraních zbraň, u které je","funkce odvozena od okamžitého uvolnění energie při výstřelu, zkonstruovaná pro požadovaný účinek na definovanou vzdálenost,"
Palná zbraň je podle zákona o zbraních,"střelná zbraň, u které je funkce odvozena od okamžitého uvolnění chemické energie."
"Plynová zbraň je dle zákona o zbraních střelná zbraň, u které je funkce odvozena od","okamžitého uvolnění energie stlačeného vzduchu nebo jiného plynu,"
"Poplašná a signalizační zbraň, jejíž konstrukce vylučuje použití kulového náboje nebo náboje s hromadnou střelou, a tuto zbraň nelze upravit tak, aby z ní mohl být vystřelen kulový náboj nebo náboj s hromadnou střelou, je podle zákona o zbraních","expanzní zbraň,"
Kulová zbraň je podle zákona o zbraních,"palná zbraň s hlavní (hlavněmi) pro střelbu kulovými náboji nebo kulovými střelami, případně speciálními náboji nebo střelami pro kulovou zbraň,"
Broková zbraň je podle zákona o zbraních,"palná zbraň s hlavní (hlavněmi) pro střelbu brokovými náboji, případně speciálními náboji pro brokovou zbraň,"
Kombinovaná zbraň je podle zákona o zbraních,"palná zbraň s hlavní (hlavněmi) pro střelbu kulovými náboji nebo kulovými střelami, případně speciálními náboji nebo střelami pro kulovou zbraň a s hlavní (hlavněmi) pro střelbu brokovými náboji, případně speciálními náboji pro brokovou zbraň."
Podle zákona o zbraních je krátká zbraň,"palná zbraň, jejíž délka hlavně nepřesahuje 300 mm nebo jejíž celková délka nepřesahuje 600 mm,"
Podle zákona o zbraních je dlouhá zbraň,"palná zbraň, která není krátkou zbraní,"
"Samočinná zbraň je podle zákona o zbraních palná zbraň, u níž se","opětovné nabití děje v důsledku předchozího výstřelu a u které konstrukce umožňuje více výstřelů na jedno stisknutí spouště,"
"Samonabíjecí zbraň podle zákona o zbraních je palná zbraň, u níž se","opětovné nabití děje v důsledku předchozího výstřelu a u které konstrukce neumožňuje více výstřelů na jedno stisknutí spouště,"
Opakovací zbraň podle zákona o zbraních je palná zbraň,"se zásobníkem nebo jiným podávacím ústrojím, u níž se opětovné nabití děje v důsledku ručního ovládání závěru nebo mechanického otočení revolverového válce."
Odpalovací zařízení jsou podle zákona o zbraních,"zbraně zvláště účinné,"
Sportovní zbraň je podle zákona o zbraních,"střelná zbraň, určená pravidly sportovní střelby pro národní a mezinárodní disciplíny,"
Lovecká zbraň je podle zákona o zbraních,"střelná zbraň, určená k lovu zvěře odstřelem podle zákona o myslivosti."
Paintballová zbraň je podle zákona o zbraních,"plynová zbraň konstruovaná pro vystřelování neletální střely určená pro výcvikové, sportovní nebo rekreační účely,"
Mezi historické zbraně se podle zákona o zbraních zařazují mimo jiné,"střelné zbraně, které byly vyrobeny do 31. prosince 1890,"
Historická zbraň je podle zákona o zbraních mimo jiné,"střelná zbraň, která byla vyrobena do 31. prosince 1890, a současně platí, že všechny hlavní části zbraně byly vyrobeny do 31. prosince 1890,"
Historická zbraň je podle zákona o zbraních mimo jiné,"jednoranová nebo dvouranová palná zbraň, která byla zkonstruována do 31. prosince 1890 a její konstrukce je založena na principech doutnákových, kolečkových, křesadlových nebo perkusních zámkových systémů."
Historická zbraň je podle zákona o zbraních mimo jiné,"jehlovka, která byla zkonstruována do 31. prosince 1880,"
"Jehlovka se podle zákona o zbraních řadí mezi historické zbraně, pokud","jde o jehlovku, která byla zkonstruována do 31. prosince 1880,"
Hlavní částí střelné zbraně podle zákona o zbraních je mimo jiné,"hlaveň; hlavní se rozumí také vložná hlaveň a vložná nábojová komora,"
Hlavní částí střelné zbraně podle zákona o zbraních je mimo jiné,"válec revolverové zbraně,"
Hlavní částí střelné zbraně podle zákona o zbraních je mimo jiné,"závěr; závěrem se rozumí také závorník a nosič závorníku,"
Hlavními částmi střelné zbraně podle zákona o zbraních jsou mimo jiné,"pouzdro zbraně, kterým se rozumí tělo zbraně, rám revolverové zbraně a pouzdro závěru, včetně horní a dolní části děleného pouzdra závěru."
Hlavní částí střelné zbraně podle zákona o zbraních je mimo jiné,"tlumič hluku výstřelu,"
Znehodnocená zbraň podle zákona o zbraních je,"střelná zbraň, která byla učiněna trvale nepoužitelnou, přičemž je zajištěno, že všechny její hlavní části jsou trvale nepoužitelné a není možné je odstranit, nahradit nebo upravit tak, aby mohla být taková zbraň jakkoli uschopněna ke střelbě. Přitom je vždy nezbytné dodržet postup stanovený přímo použitelným předpisem Evropské unie, popřípadě prováděcím právním předpisem,"
"Souhrnné označení nábojů, nábojek a střel do střelných zbraní, nejedná-li se o munici, je podle zákona o zbraních","střelivo,"
"Střelivo, které využívá již použitých nábojnic, je podle zákona o zbraních střelivo","přebíjené,"
Jednotná střela je podle zákona o zbraních,"těleso, určené k zasažení cíle nebo vyvolání jiného efektu, které se po opuštění hlavně nerozdělí,"
Hromadná střela podle zákona o zbraních je,"těleso nebo látka ve skupenství tuhém, kapalném nebo plynném, určená k zasažení cíle nebo vyvolání jiného efektu, která se po opuštění hlavně rozdělí,"
"Složená plášťová střela obsahující výbušnou slož, která po nárazu exploduje, je podle zákona o zbraních střela","výbušná,"
"Složená plášťová střela obsahující zápalnou slož, která se po styku se vzduchem nebo po nárazu vznítí, je podle zákona o zbraních střela",zápalná.
Náboj je podle zákona o zbraních celek určený ke vkládání (nabíjení) do,"palné zbraně, signální zbraně nebo zvláštní zbraně, skládá se z nábojnice, zápalky nebo zápalkové slože, výmetné náplně a střely."
"Za technicky způsobilé se pro účely zabezpečení uschovaných, uložených nebo uskladněných zbraní a střeliva považují uzamykatelná ocelová schránka nebo uzamykatelná ocelová skříň, které splňují technické požadavky stanovené",v nařízení vlády č. 217/2017 Sb.
"Za technicky způsobilé se pro účely zabezpečení uschovaných, uložených nebo uskladněných zbraní a střeliva považuje zvláštní uzamčené zařízení, které splňuje technické požadavky stanovené v","v nařízení vlády č. 217/2017 Sb,"
"Za technicky způsobilé se pro účely zabezpečení uschovaných, uložených nebo uskladněných zbraní a střeliva považují uzamčená místnost nebo samostatný objekt, které splňují technické požadavky stanovené","v nařízení vlády č. 217/2017 Sb,"
"Za technicky způsobilý se pro účely zabezpečení uschovaných, uložených nebo uskladněných zbraní a střeliva považuje komorový trezor, který splňuje technické požadavky stanovené v","v nařízení vlády č. 217/2017 Sb,"
"Černý lovecký prach, bezdýmný prach a zápalky lze podle nařízení vlády č. 217/2017 Sb. přechovávat mimo jiné",v jednom prostoru pouze v samostatných skříních nebo schránkách upravených proti možnému odcizení nebo zneužití.
"Černý lovecký prach, bezdýmný prach a zápalky lze podle nařízení vlády č. 217/2017 Sb. přechovávat mimo jiné pouze","v suchu a takovým způsobem, aby jejich teplota nepřesáhla 40 °C,"
Při přebíjení nábojů nelze podle nařízení vlády č. 217/2017 Sb.,používat otevřeného ohně a kouřit.
Při přebíjení nábojů lze podle nařízení vlády č. 217/2017 Sb. mimo jiné,"používat pouze nepoškozenou nábojnici,"
Podle vyhlášky Ministerstva vnitra č. 221/2017 Sb. v praktické části zkoušky odborné způsobilosti žadatel o vydání zbrojního průkazu k prokázání znalostí bezpečné manipulace se zbraní a střelivem samostatně předvede,"prohlídku zbraně za účelem zjištění, zda není v nabitém stavu; částečné rozebrání a složení zbraně v rozsahu, který je nutný k běžnému vyčištění zbraně po střelbě; postup při přípravě zbraně a střeliva ke střelbě, postup při zjištění závady na zbrani při střelbě a postup při ukončení střelby,"
Podle vyhlášky Ministerstva vnitra č. 221/2017 Sb. zbraň nebo zbraně k předvedení bezpečné manipulace se zbraní a střelivem a ke střelbě na pevný cíl žadateli o vydání zbrojního průkazu určí,zkušební komisař.
Podle vyhlášky Ministerstva vnitra č. 221/2017 Sb. se k předvedení bezpečné manipulace se zbraní a střelivem a ke střelbě na pevný cíl žadatelem o vydání zbrojního průkazu použije,"zbraň nebo zbraně obvyklého typu odpovídající skupině zbrojního průkazu, kterou žadatel uvádí v přihlášce,"
Podle vyhlášky Ministerstva vnitra č. 221/2017 Sb. se ke střelbě na pevný cíl v rámci zkoušky odborné způsobilosti žadatele o vydání zbrojního průkazu použije,v případě žadatele o vydání zbrojního průkazu skupiny A a B dlouhá kulová nebo krátká kulová zbraň; v případě žadatele o vydání zbrojního průkazu skupiny C dlouhá kulová a dlouhá broková zbraň; v případě žadatele o vydání zbrojního průkazu skupiny D a E krátká kulová zbraň.
Podle vyhlášky Ministerstva vnitra č. 221/2017 Sb. je v rámci praktické části zkoušky odborné způsobilosti žadatel o vydání zbrojního průkazu,"povinen při střelbě použít vhodné ochranné pomůcky, které určí zkušební komisař nebo které jsou stanoveny provozním řádem střelnice,"
Podle vyhlášky Ministerstva vnitra č. 221/2017 Sb. je žadatel o vydání zbrojního průkazu před zahájením hodnocené střelby na pevný cíl v rámci zkoušky odborné způsobilosti,"oprávněn ověřit si správnost nastřelení zbraně, a to v případě krátké kulové a dlouhé kulové zbraně třemi výstřely a v případě dlouhé brokové zbraně jedním výstřelem,"
Podle vyhlášky Ministerstva vnitra č. 221/2017 Sb. se teoretická část zkoušky odborné způsobilosti žadatele o vydání zbrojního průkazu provádí písemným testem,"trvajícím nejdéle 40 minut, který je složen z 30 otázek,"
Podle vyhlášky Ministerstva vnitra č. 221/2017 Sb. činí odměna zkušebního komisaře za provedení zkoušky odborné způsobilosti žadatele o vydání zbrojního průkazu nebo za provedení opakované praktické části této zkoušky,"600 Kč za každého žadatele o vydání zbrojního průkazu; zkušební komisař není oprávněn požadovat žádnou další platbu ani v případě, že zapůjčí ke zkoušce své vlastní zbraně,"
"Pravidla bezpečnosti provozu střelnice, především zásady zacházení se zbraní a střelivem na střelnici, bezpečnostní pravidla střelby a pravidla pohybu osob v prostoru střelnice","patří mezi povinné obsahové náležitosti provozního řádu střelnice podle přílohy č. 3 zákona o zbraních,"
Podle přílohy č. 3 zákona o zbraních postup při vzniku mimořádných událostí na střelnici,patří mezi povinné obsahové náležitosti provozního řádu střelnice.
"Vymezení denní a roční doby, ve které je dovoleno na střelnici provádět střelbu, a pravidla evidence osob využívajících střelnici","patří mezi povinné obsahové náležitosti provozního řádu střelnice podle přílohy č. 3 zákona o zbraních,"
"Uvedení oprávnění a povinností správce střelnice, případně též dalších osob, zejména provozovatele střelnice, zdravotnické služby a pořadatelů",patří mezi povinné obsahové náležitosti provozního řádu střelnice podle přílohy č. 3 zákona o zbraních.
Podle nařízení vlády č. 315/2011 Sb. zkušební komisař vyhlašuje výsledek teoretické části zkoušky odborné způsobilosti žadatele o vydání zbrojního průkazu,pro všechny žadatele současně a veřejně.
Podle nařízení vlády č. 315/2011 Sb. praktickou část zkoušky odborné způsobilosti vykoná žadatel o vydání zbrojního průkazu,"zpravidla ve stejný den jako teoretickou část zkoušky na určené střelnici. Výjimečně může být v odůvodněných případech praktická část zkoušky vykonána v jiný den, o čemž na místě rozhodne zkušební komisař,"
Podle nařízení vlády č. 315/2011 Sb. provádí žadatel o vydání zbrojního průkazu při praktické části zkoušky odborné způsobilosti střelbu,v souladu se zásadami stanovenými provozním řádem střelnice a za přítomnosti a podle pokynů zkušebního komisaře.
Podle nařízení vlády č. 315/2011 Sb. před vykonáním praktické části zkoušky odborné způsobilosti žadatele o vydání zbrojního průkazu,"zkušební komisař seznámí žadatele s průběhem zkoušky a v potřebném rozsahu s provozním řádem střelnice, zejména se zásadami bezpečné manipulace se zbraní a chováním na střelnici. Zkušební komisař žadatele dále seznámí s povely, které bude používat při praktické části zkoušky,"
Se vzorem dokladu o odborné způsobilosti pro vydání zbrojního průkazu,"je možné se seznámit v příloze č. 2 nařízení vlády č. 315/2011 Sb,"
"Podle přílohy 1 nařízení vlády č. 315/2011 Sb. může zkušební komisař v průběhu praktické části zkoušky, kdy žadatel prokazuje znalosti bezpečné manipulace se zbraní a střelivem, zadat pouze odstranění závady (nebo několika závad)","typu „zádržka“, „selhač“ a „slabá rána“,"
"Správný postup při závadě typu „selhač“ (nedojde k iniciaci náboje) podle přílohy 1 nařízení vlády č. 315/2011 Sb. v průběhu praktické části zkoušky, je:","Vyčkat minimálně 10 vteřin se zbraní směřující do bezpečného směru (pokud výrobce zbraně nebo střeliva použitých k předvedení činností předepisuje vyčkat delší dobu, seznámí zkušební komisař žadatele s touto skutečností); po uplynutí příslušné doby se provede kontrola zbraně podle bodu 2 přílohy 1 nařízení vlády č. 315/2011 Sb. Následně je také třeba zkontrolovat otisk zápalníku na zápalce pro zjištění, zda je závada zapříčiněna zbraní nebo střelivem,"
"Správný postup při závadě typu „slabá rána“ podle přílohy 1 nařízení vlády č. 315/2011 Sb. v průběhu praktické části zkoušky, je:","Provést kontrolu zbraně podle bodu 2 přílohy 1 nařízení vlády č. 315/2011 Sb. Následně provést kontrolu průchodnosti vývrtu hlavně, které bude u zbraní většiny konstrukcí předcházet rozebrání zbraně. V případě, že střela je uvízlá v hlavni, provede se její odstranění. (Vyčkání při vzniku tohoto druhu závady před provedením kontroly zbraně není povinné, ale není také chybou.),"
"Podle nařízení vlády č. 315/2011 Sb. zjistí-li zkušební komisař, že žadateli o vydání zbrojního průkazu v řádném vykonání zkoušky brání jeho zdravotní stav nebo jiné okolnosti, které by mohly nepříznivě ovlivnit jeho schopnost vykonat zkoušku, zejména předchozí požití alkoholických nápojů, jiných návykových látek nebo léků,","navrhne žadateli vykonání zkoušky v náhradním termínu, popřípadě žadatele z účasti na zkoušce vyloučí. Náhradní termín a místo konání zkoušky oznámí žadateli příslušný útvar policie,"
"V trestním zákoníku je o krajní nouzi stanoveno, že","čin jinak trestný, kterým někdo odvrací nebezpečí přímo hrozící zájmu chráněnému trestním zákonem, není trestným činem. Nejde o krajní nouzi, jestliže bylo možno toto nebezpečí za daných okolností odvrátit jinak anebo způsobený následek je zřejmě stejně závažný nebo ještě závažnější než ten, který hrozil, anebo byl ten, komu nebezpečí hrozilo, povinen je snášet."
Jednat v krajní nouzi je obecně oprávněn,"kdokoliv, tedy nejen ten, komu nebezpečí hrozí přímo a jehož zájmy jsou ohroženy, ale i ten, jehož zájmy ohroženy v daném případě nejsou (tzv. pomoc v krajní nouzi),"
Při posuzování oprávněnosti krajní nouze je rozhodující,"to, zda nebylo možné dané nebezpečí odvrátit jinak nebo zda způsobený následek není zřejmě stejně závažný nebo ještě závažnější než ten, který hrozil."
"Základní podmínkou vzniku stavu krajní nouze je nebezpečí, které hrozí zájmu chráněnému trestním zákonem. Toto nebezpečí","musí hrozit přímo (tedy bezprostředně),"
Nebezpečí přímo hrozící zájmu chráněnému trestním zákonem může být s ohledem na vznik stavu krajní nouze způsobeno,"různými faktory, např. přírodní silou, člověkem nebo různými fyziologickými a biologickými procesy."
"V trestním zákoníku je o nutné obraně stanoveno, že","čin jinak trestný, kterým někdo odvrací přímo hrozící nebo trvající útok na zájem chráněný trestním zákonem, není trestným činem. Nejde o nutnou obranu, byla-li obrana zcela zjevně nepřiměřená způsobu útoku,"
Při posuzování oprávněnosti nutné obrany je rozhodující zda,"obrana nebyla zcela zjevně nepřiměřená ve srovnání se způsobem útoku,"
Pokud obránce hodlá proti útočníkovi použít střelnou zbraň ve stavu nutné obrany,"není povinen vyzvat osobu, proti které má být zbraň použita, aby upustila od protiprávního jednání,"
Použití střelné zbraně vůči útočníkovi ve stavu nutné obrany je obecně,"možné i tehdy, pokud útočník v rámci útoku sám nepoužije střelnou zbraň. Obrana musí být intenzivnější než útok, proto aby odvrátila jistě a bez rizika útok útočníka, tzn. že musí být silnější než útok, ale nesmí být zcela zjevně nepřiměřená způsobu útoku."
"V případě jednání ve stavu nutné obrany z povahy věci vyplývá, že","obrana musí být intenzivnější než útok, proto aby odvrátila jistě a bez rizika útok útočníka, tzn. že musí být silnější než útok, ale nesmí být zcela zjevně nepřiměřená způsobu útoku,"
"Jednání ve stavu nutné obrany je při splnění dalších podmínek možné tehdy, pokud někdo odvrací přímo hrozící nebo trvající útok",na zájem chráněný trestním zákonem.
Jednáním v nutné obraně někdo odvrací přímo hrozící nebo trvající útok na zájem chráněný trestním zákonem. Ohrožení těchto zájmů může být způsobeno,"protiprávním jednáním fyzické osoby, může být způsobeno i opomenutím fyzické osoby, pokud je toto opomenutí taky protiprávní."
Při jednání v nutné obraně je možné,"bránit své zájmy i zájmy jiné osoby (pomoc v nutné obraně), a to za stejných zákonných podmínek."
